passenger_id,pnr_no,flight_number,baggage_allowance,luggage_id,fare_type,seal,meal,extra_luggage,check_in,name,surname,email,phone,gender,birth_date,cip_member,vip_member,child,disabled
12345678901,ABC12345,NaN,25,987654321012,NaN,NaN,True,20,True,John,Doe,johndoe@gmail.com,1234567890,Male,15/05/1980,False,False,False,False
23456789012,DEF67890,NaN,35,876543210123,NaN,NaN,False,10,True,Jane,Smith,janesmith@outlook.com,2345678901,Female,22/09/1995,False,False,False,False
34567890123,GHI34567,NaN,15,765432109234,NaN,NaN,True,15,False,Michael,Johnson,michaeljohnson@icloud.com,3456789012,Male,10/11/1988,False,False,False,False
45678901234,JKL90123,NaN,45,654321098345,NaN,NaN,False,10,True,Emily,Williams,emilywilliams@gmail.com,4567890123,Female,05/07/1992,False,False,False,False
56789012345,MNO45678,NaN,25,543210987456,NaN,NaN,True,20,False,David,Anderson,davidanderson@outlook.com,5678901234,Male,30/03/1975,False,False,False,False
67890123456,PQR78901,NaN,15,432109876567,NaN,NaN,False,15,True,Sophia,Brown,sophiabrown@gmail.com,6789012345,Female,18/08/1982,False,False,False,False
78901234567,STU23456,NaN,45,321098765678,NaN,NaN,True,10,False,William,Taylor,williamtaylor@icloud.com,7890123456,Male,25/12/1990,False,False,False,False
89012345678,VWX78901,NaN,35,210987654789,NaN,NaN,True,20,True,Olivia,Miller,oliviamiller@gmail.com,8901234567,Female,14/06/1985,False,False,False,False
90123456789,YZA12345,NaN,25,109876543210,NaN,NaN,False,10,True,Aiden,Clark,aidenclark@outlook.com,9012345678,Male,03/09/1998,False,False,False,False
12345678900,BCD67891,NaN,15,098765432101,NaN,NaN,True,15,False,Ella,Moore,ellamoore@gmail.com,1234567890,Female,09/02/1973,False,False,False,False
23456789011,EFG34592,NaN,35,987654321102,NaN,NaN,False,20,True,Liam,Davis,liamdavis@icloud.com,2345678901,Male,28/07/1987,False,False,False,False
34567890122,HIJ90193,NaN,45,876543210303,NaN,NaN,True,10,False,Ava,Thomas,avathomas@gmail.com,3456789012,Female,17/04/1994,False,False,False,False
45678901233,KLM45694,NaN,25,765432109404,NaN,NaN,True,20,True,James,Wilson,jameswilson@outlook.com,4567890123,Male,22/10/1978,False,False,False,False
56789012344,NOP78905,NaN,15,654321098505,NaN,NaN,False,15,False,Emma,Bennett,emmabennett@gmail.com,5678901234,Female,02/11/1999,False,False,False,False
67890123455,PQR23456,NaN,35,543210987606,NaN,NaN,True,10,True,Logan,Young,loganyoung@icloud.com,6789012345,Male,11/06/1986,False,False,False,False
78901234566,STU78907,NaN,25,432109876707,NaN,NaN,False,20,False,Grace,Hill,gracehill@gmail.com,7890123456,Female,29/03/1991,False,False,False,False
89012345677,VWX23458,NaN,45,321098765808,NaN,NaN,True,10,True,Jackson,Ward,jacksonward@outlook.com,8901234567,Male,08/09/1983,False,False,False,False
90123456788,YZA78909,NaN,15,210987654909,NaN,NaN,True,15,False,Avery,Ross,averyross@gmail.com,9012345678,Female,12/12/1976,False,False,False,False
12345678910,BCD23410,NaN,25,109876543010,NaN,NaN,False,20,True,Ethan,Fisher,ethanfisher@icloud.com,1234567890,Male,07/05/1995,False,False,False,False
23456789021,EFG78911,NaN,35,098765432111,NaN,NaN,True,10,False,Chloe,Brooks,chloebrooks@gmail.com,2345678901,Female,23/08/1989,False,False,False,False
34567890132,HIJ23412,NaN,45,987654321212,NaN,NaN,False,15,True,Lucas,Butler,lucasbutler@outlook.com,3456789012,Male,19/01/1984,False,False,False,False
45678901243,KLM78913,NaN,15,876543210313,NaN,NaN,True,20,False,Lily,Hall,lilyhall@gmail.com,4567890123,Female,06/04/1997,False,False,False,False
56789012354,NOP78905,NaN,25,765432109414,NaN,NaN,True,10,True,Noah,Mitchell,noahmitchell@icloud.com,5678901234,Male,31/10/1981,False,False,False,False
67890123465,PQR78915,NaN,35,654321098515,NaN,NaN,False,15,False,Aria,Campbell,ariacampbell@gmail.com,6789012345,Female,14/07/1996,False,False,False,False
78901234576,STU23416,NaN,45,543210987616,NaN,NaN,True,10,True,Mason,Cooper,masoncooper@outlook.com,7890123456,Male,02/02/1982,False,False,False,False
89012345687,VWX78917,NaN,25,432109876717,NaN,NaN,False,20,False,Aubrey,Hughes,aubreyhughes@gmail.com,8901234567,Female,25/09/1993,False,False,False,False
90123456798,YZA12318,NaN,15,321098765818,NaN,NaN,True,15,True,Levi,Reid,levireid@icloud.com,9012345678,Male,13/06/1987,False,False,False,False
12345678909,BCD23419,NaN,25,210987654919,NaN,NaN,False,10,False,Evelyn,Turner,evelynturner@gmail.com,1234567890,Female,08/03/1998,False,False,False,False
23456789020,EFG78920,NaN,35,098765432020,NaN,NaN,True,20,True,Lincoln,Richardson,lincolnrichardson@outlook.com,2345678901,Male,20/12/1974,False,False,False,False
34567890131,HIJ23421,NaN,45,987654321121,NaN,NaN,False,15,False,Aria,Simpson,ariasimpson@gmail.com,3456789012,Female,05/04/1999,False,False,False,False
45678901242,KLM78922,NaN,15,876543210222,NaN,NaN,True,20,True,Landon,Crawford,landoncrawford@icloud.com,4567890123,Male,18/09/1988,False,False,False,False
56789012353,NOP23423,NaN,25,765432109323,NaN,NaN,False,15,False,Ella,Stevens,ellastevens@gmail.com,5678901234,Female,22/02/1993,False,False,False,False
67890123464,PQR78924,NaN,35,654321098424,NaN,NaN,True,10,True,Milo,Adams,miloadams@outlook.com,6789012345,Male,09/07/1977,False,False,False,False
78901234575,STU23425,NaN,45,543210987525,NaN,NaN,False,20,False,Luna,Hudson,lunahudson@gmail.com,7890123456,Female,14/11/1992,False,False,False,False
89012345686,VWX78926,NaN,25,432109876626,NaN,NaN,True,10,True,Hudson,Bryant,hudsonbryant@icloud.com,8901234567,Male,30/06/1986,False,False,False,False
90123456797,YZA12327,NaN,15,321098765727,NaN,NaN,False,15,False,Nova,Keller,novakeller@gmail.com,9012345678,Female,03/04/1991,False,False,False,False
12345678908,BCD23428,NaN,25,210987654828,NaN,NaN,False,20,True,Owen,Hayes,owenhayes@outlook.com,1234567890,Male,25/09/1985,False,False,False,False
23456789019,EFG78929,NaN,35,098765432929,NaN,NaN,True,10,False,Mia,Newton,mianewton@gmail.com,2345678901,Female,10/12/1996,False,False,False,False
34567890130,HIJ23430,NaN,45,987654321030,NaN,NaN,False,15,True,Austin,Warren,austinwarren@icloud.com,3456789012,Male,17/03/1980,False,False,False,False
45678901241,KLM78931,NaN,15,876543210131,NaN,NaN,True,20,True,Addison,Fleming,addisonfleming@outlook.com,4567890123,Female,22/08/1995,False,False,False,False
56789012352,NOP23432,NaN,25,765432109232,NaN,NaN,False,10,False,Lucas,Black,lucasblack@gmail.com,5678901234,Male,05/11/1988,False,False,False,False
67890123463,PQR78933,NaN,35,654321098333,NaN,NaN,True,15,True,Sophie,Hall,sophiehall@icloud.com,6789012345,Female,12/04/1973,False,False,False,False
